title,address,post_time,work_experience,education,salary,company,workTag,welfare,work_content
大数据开发助理（提供住宿）,"成都 - 成华区- 华泰社区5F-M204号
",3天前发布,不限 ,大专,4k-6k,"

成都维创利星科技有限公司

","

专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 少于15人

","五险一金,员工旅游,专业培训","岗位职责:
协助和参与大数据项目开发，配合项目经理工作。
应聘要求：
1、掌握Python、java、sql、Hadoop生态圈等其中一种基本知识应用；
2、了解数据的辨析、抽取、清洗、填补、平滑、合并、规格化及检查一致性等预处理技术方面的基本知识；
3、清楚对项目开发的流程和基本要求；
4、有良好的敬业精神、学习能力和团队协作能力。
5、能够适应一般的加班和出差；
提供住宿 水电自理（需有***）"
大数据开发工程师,"成都 - 高新区- 吉泰五路88号香年广场T2楼30层9号（天府三街地铁站）
",2024/4/21,不限 ,本科,8k-16k,"

微银合创

","

数据服务｜咨询 / 不需要融资 / 15-50人

",五险一金，周末双休，团队体检,"技能要求： 
 
IMPALA，Spark，Python，DB2，Oracle，MySQL 
 
职位描述： 
 
1、基于公司大数据平台，设计大数据相关项目的技术方案； 
 
2、负责数据调研、数据接入、数据建模、数据清洗、数据映射、数据可视化等工作； 
 
3、负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑，BI报表输出； 
 
4、负责大数据平台的性能监控和持续优化； 
 
5、针对需求提供大数据分析技术解决方案； 
 
 
 
任职要求： 
 
1、本科及以上学历，1-3年以上工作经验，活跃、严谨的思维，理解能力强，交流沟通无障碍； 
 
2、熟练使用数仓、大数据工具，熟练使用SQL，熟悉Python或Java； 
 
3、熟悉oracle，db2，hive, spark, impala, kylin, ETL等技术，能独立承担报表设计和开发工作； 
 
4、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 
 
5、熟悉银行业务, 丰富的BI指标体系建设经验"
大数据开发工程师,"成都 - 双流县- 电子科大科技园D3
",2023/8/17,不限 ,本科,10k-16k,"

中钞科信

","

软件服务｜咨询 / 不需要融资 / 150-500人

",国企；法定节假日；带薪年假；节日福利,"1. 了解基本的数据结构和预处理等相关算法； 
2. 熟悉python和java； 
3. 能用java进行后端封装 
4.熟悉大数据分析相关的框架以及基本算法，特别是机器学习算法，或者深度学习算法等 
5.有基于微服务部署大数据机器学习负载的经验。 
6. 熟悉 Spark、Flink 等技术，熟悉 FlinkML。 
7. 熟悉 ETL、SQL，熟悉 MySQL，PostgreSQL 等主流数据库 
8. 了解时序数据库，了解 K8s 开发"
大数据网络工程师,"成都 - 郫都区 - 郫筒- 梦翔大厦
",2022/10/10,在校,应届,8k-15k,"

壹为新能源汽车

","

新能源汽车制造 / 不需要融资 / 50-150人

",新兴行业，平台大，团队氛围佳，晋升快,"岗位职责： 
1. 负责新能源汽车大数据的清洗、压缩、存储，数据仓库、数据集群建设维护等 
2. 负责新能源监控平台、云服务器、数据库的日常运维，异常问题的对接处理 
3. 基于FanBI开展大数据分析、数据可视化表达 
4. 负责售后助手软件的优化完善，主要涉及基于WEB端的前后端的功能开发 
技能要求： 
1、具有良好的java开发基础，对网络、IO、多线程、设计模式、jvm的原理和调优等有一定的了解和实践经验； 
1、有过微信小程序、手机APP的前后端开发项目尤佳 
2、对数据分析感兴趣，有过相关项目经历尤佳"
数据分析、大数据、人工智能培训讲师,"成都 - 高新区- 天府二街绿地之窗2号楼12层
",2024/12/8,不限 ,本科,10k-20k,"

CDA数据分析(成都)研究院

","

教育,数据服务 / 不需要融资 / 15-50人

",收入高 自有,"数据分析、大数据、人工智能、区块链培训讲师 
 
 
工作地点：成都/全国 
 
工作性质：全职/兼职 
 
薪资：面谈 
 
 
要求： 
 
1. 熟悉数理统计、商业智能、数据分析、数据挖掘、可视化、大数据等理论内容之一。 
 
2. 熟练运用SPSS、SAS、R、EXCEL、Python等软件之一。 
 
3. 有一定的项目实战经验 
 
4. 熟悉hadoop生态，具备数据挖掘项目能力， 
 
5.对任何数据领域有一定特长皆可考虑 
 
 
各层次培训需求都会有，有共同创业精神考虑的朋友可以提出交流。 
 
欢迎有志于CDA数据科学事业的朋友加入。 
 
 
"
python数据开发实习生,"成都 - 武侯区- 天府国际金融中心11号楼南塔
",2023/2/14,在校,应届,4k-8k,"

上海天王星

","

数据服务｜咨询 / 未融资 / 50-150人

",年轻团队；发展前景；技术大牛带教,"天王星量化旗下数据科学团队，正在寻找一名Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。 
 
岗位职责 
● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等 
● 有机会参与开发量化交易研究的回测系统组件 
● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等 
● 有机会参与学习和开发机器学习算法相关组件 
● 完成上级交代的其他任务 
 
任职要求 
● 国内985高校计算机科学类本科及研究生在读 
● 熟练掌握Python，熟悉Linux环境 
● 热爱编程，有一定的代码项目经验 
● 自驱力强，对工作认真负责，渴望成长和提高 
● 优秀的分析和解决问题能力 
● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯 
 
额外加分项 
● 省级以上物理数学类竞赛获奖经历者 
● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"
Python数据开发实习生【200-400元/日】,"成都 - 武侯区- 天府国际金融中心11号楼南塔
",2022/11/22,在校,应届,6k-9k,"

上海天王星

","

数据服务｜咨询 / 未融资 / 50-150人

",大佬带教；可转正实习；年轻活跃,"天王星量化旗下数据科学团队，正在寻找一名Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。 
 
 
岗位职责 
● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等 
● 有机会参与开发量化交易研究的回测系统组件 
● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等 
● 有机会参与学习和开发机器学习算法相关组件 
● 完成上级交代的其他任务 
 
 
任职要求 
● 国内985高校计算机科学类本科及研究生在读 
● 熟练掌握Python，熟悉Linux环境 
● 热爱编程，有一定的代码项目经验 
● 自驱力强，对工作认真负责，渴望成长和提高 
● 优秀的分析和解决问题能力 
● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯 
 
 
额外加分项 
● 省级以上物理数学类竞赛获奖经历者 
● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"
大数据后端工程师-抖音生活服务,"成都 - 武侯区- 中国大陆四川省成都市武侯区(do not use) 天府四街158号OCG国际中心C座梦想加17层，邮编：610094
",15:35发布,不限 ,不限,25k-50k,"

字节跳动

","

内容资讯,短视频 / D轮及以上 / 2000人以上

","下午茶,五险一金,团队氛围好,带薪休假","职位职责： 
1、参与生活服务业务商家数据平台产品的落地，包括数据参谋、数据工厂等系列数据平台产品； 
2、参与数据产品架构设计和后端开发，设计和实现Web后端和关键数据服务； 
3、参与数据产品的功能迭代和性能优化，提高效率，优化流程。 
职位要求： 
1、有本地生活行业经验的优先，对酒旅、外卖、综合、餐饮行业的业务模式和商业逻辑清晰的优先； 
2、熟悉互联网产品和服务的开发过程，熟悉后端技术架构，具备良好的系统设计能力； 
3、扎实的计算机基础，对技术有热情，愿意不断尝试新技术和业务挑战； 
4、善于沟通，对业务敏感，能快速理解业务背景，具备优秀的技术与业务结合能力； 
5、熟练使用clickhouse、presto、doris等mpp查询引擎，具备数据组件化开发的能力； 
6、具备较好的数据分析sense，有良好的协作能力。"
大数据开发工程师,"成都 - 武侯区- 剑南大道中段716号瑞鑫时代大厦
",2023/7/26,3-5年 ,本科,8k-12k,"

延华医疗研究院

","

IT技术服务｜咨询,数据服务｜咨询 / 上市公司 / 150-500人

",医疗大数据，国家重点方向,"岗位职责：

1.参与数据中心建设数据存储方案制定。

2.参与数据中心数据存储能力评估。

3.负责数据中心环境维护与优化。

4.支撑数据开发人员快速完成开发工作。

个人能力：

1.有大数据存储、分析相关项目工作经验，承担核心工作。

2.?掌握与大数据处理相关的技术，包括但不限于Hadoop，Hbase，Hive等。

3.?掌握常用的的mpp数据库，包含但不限于Doris?与?ClickHouse等。

4.?掌握常用的关系形数据库，包含但不限于?sql?server，oracle，mysql等。"
后端研发工程师（大数据开发）,"成都 - 郫都区- 成都市高新西区新业路88号
",2025/3/17,3-5年 ,本科,12k-24k,"

成都天奥集团有限公司

","

","五险一金,专业培训,节假日福利","岗位职责：
1.负责数据分析、加工、清洗、处理程序的开发、故障修复处理；
2.协助进行大数据相关的需求分析及架构方案设计；
3.负责大数据相关平台的搭建、开发、维护、优化；
4.负责部分后端java后端开发；
5.负责项目中文档的编写工作；
6.能够根据项目需要，接受出差，在现场完成部分开发工作。
任职要求：
1.本科及以上学历，计算机或者数学等相关专业，具备3年以上工作经验；
2.熟悉MySQL/Oracle，熟练使用SQL语言，具备SQL调优能力；
3.掌握Java基础，熟练使用springboot，springcloud，spring，spring mvc，mybatis等常用框架；
4.掌握常用ETL开发工具，熟悉常用的非关系数据库（Hbase/MangoDB/Kudu等）；
5.掌握离线大数据开发工具的使用(hdfs、hive、spark、impala等)，具有完整项目作战经验；
6.熟悉实时大数据开发工具的使用（flink、spark streaming、kafka等），有实时数据开发经验更佳；
7.熟悉Linux开发环境，熟悉常用的Linux命令；
8.了解Docker、k8s，能使用Docker进行容器化部署服务更佳；
9.有智能问答、知识图谱工作经验者优先。"
