title,address,post_time,work_experience,education,salary,company,workTag,welfare,work_content
大数据开发助理（提供住宿）,"成都 - 成华区- 华泰社区5F-M204号
",2天前发布,不限 ,大专,4k-6k,"

成都维创利星科技有限公司

","

专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 少于15人

","五险一金,员工旅游,专业培训","岗位职责:
协助和参与大数据项目开发，配合项目经理工作。
应聘要求：
1、掌握Python、java、sql、Hadoop生态圈等其中一种基本知识应用；
2、了解数据的辨析、抽取、清洗、填补、平滑、合并、规格化及检查一致性等预处理技术方面的基本知识；
3、清楚对项目开发的流程和基本要求；
4、有良好的敬业精神、学习能力和团队协作能力。
5、能够适应一般的加班和出差；
提供住宿 水电自理（需有***）"
大数据开发工程师,"成都 - 高新区- 吉泰五路88号香年广场T2楼30层9号（天府三街地铁站）
",2024/4/21,不限 ,本科,8k-16k,"

微银合创

","

数据服务｜咨询 / 不需要融资 / 15-50人

",五险一金，周末双休，团队体检,"技能要求： 
 
IMPALA，Spark，Python，DB2，Oracle，MySQL 
 
职位描述： 
 
1、基于公司大数据平台，设计大数据相关项目的技术方案； 
 
2、负责数据调研、数据接入、数据建模、数据清洗、数据映射、数据可视化等工作； 
 
3、负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑，BI报表输出； 
 
4、负责大数据平台的性能监控和持续优化； 
 
5、针对需求提供大数据分析技术解决方案； 
 
 
 
任职要求： 
 
1、本科及以上学历，1-3年以上工作经验，活跃、严谨的思维，理解能力强，交流沟通无障碍； 
 
2、熟练使用数仓、大数据工具，熟练使用SQL，熟悉Python或Java； 
 
3、熟悉oracle，db2，hive, spark, impala, kylin, ETL等技术，能独立承担报表设计和开发工作； 
 
4、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 
 
5、熟悉银行业务, 丰富的BI指标体系建设经验"
大数据开发工程师,"成都 - 双流县- 电子科大科技园D3
",2023/8/17,不限 ,本科,10k-16k,"

中钞科信

","

软件服务｜咨询 / 不需要融资 / 150-500人

",国企；法定节假日；带薪年假；节日福利,"1. 了解基本的数据结构和预处理等相关算法； 
2. 熟悉python和java； 
3. 能用java进行后端封装 
4.熟悉大数据分析相关的框架以及基本算法，特别是机器学习算法，或者深度学习算法等 
5.有基于微服务部署大数据机器学习负载的经验。 
6. 熟悉 Spark、Flink 等技术，熟悉 FlinkML。 
7. 熟悉 ETL、SQL，熟悉 MySQL，PostgreSQL 等主流数据库 
8. 了解时序数据库，了解 K8s 开发"
python数据开发实习生,"成都 - 武侯区- 天府国际金融中心11号楼南塔
",2023/2/14,在校,应届,4k-8k,"

上海天王星

","

数据服务｜咨询 / 未融资 / 50-150人

",年轻团队；发展前景；技术大牛带教,"天王星量化旗下数据科学团队，正在寻找一名Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。 
 
岗位职责 
● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等 
● 有机会参与开发量化交易研究的回测系统组件 
● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等 
● 有机会参与学习和开发机器学习算法相关组件 
● 完成上级交代的其他任务 
 
任职要求 
● 国内985高校计算机科学类本科及研究生在读 
● 熟练掌握Python，熟悉Linux环境 
● 热爱编程，有一定的代码项目经验 
● 自驱力强，对工作认真负责，渴望成长和提高 
● 优秀的分析和解决问题能力 
● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯 
 
额外加分项 
● 省级以上物理数学类竞赛获奖经历者 
● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"
Python数据开发实习生【200-400元/日】,"成都 - 武侯区- 天府国际金融中心11号楼南塔
",2022/11/22,在校,应届,6k-9k,"

上海天王星

","

数据服务｜咨询 / 未融资 / 50-150人

",大佬带教；可转正实习；年轻活跃,"天王星量化旗下数据科学团队，正在寻找一名Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。 
 
 
岗位职责 
● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等 
● 有机会参与开发量化交易研究的回测系统组件 
● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等 
● 有机会参与学习和开发机器学习算法相关组件 
● 完成上级交代的其他任务 
 
 
任职要求 
● 国内985高校计算机科学类本科及研究生在读 
● 熟练掌握Python，熟悉Linux环境 
● 热爱编程，有一定的代码项目经验 
● 自驱力强，对工作认真负责，渴望成长和提高 
● 优秀的分析和解决问题能力 
● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯 
 
 
额外加分项 
● 省级以上物理数学类竞赛获奖经历者 
● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"
后端研发工程师（大数据开发）,"成都 - 郫都区- 成都市高新西区新业路88号
",2天前发布,3-5年 ,本科,12k-24k,"

成都天奥集团有限公司

","

","五险一金,专业培训,节假日福利","岗位职责：
1.负责数据分析、加工、清洗、处理程序的开发、故障修复处理；
2.协助进行大数据相关的需求分析及架构方案设计；
3.负责大数据相关平台的搭建、开发、维护、优化；
4.负责部分后端java后端开发；
5.负责项目中文档的编写工作；
6.能够根据项目需要，接受出差，在现场完成部分开发工作。
任职要求：
1.本科及以上学历，计算机或者数学等相关专业，具备3年以上工作经验；
2.熟悉MySQL/Oracle，熟练使用SQL语言，具备SQL调优能力；
3.掌握Java基础，熟练使用springboot，springcloud，spring，spring mvc，mybatis等常用框架；
4.掌握常用ETL开发工具，熟悉常用的非关系数据库（Hbase/MangoDB/Kudu等）；
5.掌握离线大数据开发工具的使用(hdfs、hive、spark、impala等)，具有完整项目作战经验；
6.熟悉实时大数据开发工具的使用（flink、spark streaming、kafka等），有实时数据开发经验更佳；
7.熟悉Linux开发环境，熟悉常用的Linux命令；
8.了解Docker、k8s，能使用Docker进行容器化部署服务更佳；
9.有智能问答、知识图谱工作经验者优先。"
大数据开发工程师,"成都 - 武侯区- 剑南大道中段716号瑞鑫时代大厦
",2023/7/26,3-5年 ,本科,8k-12k,"

延华医疗研究院

","

IT技术服务｜咨询,数据服务｜咨询 / 上市公司 / 150-500人

",医疗大数据，国家重点方向,"岗位职责：

1.参与数据中心建设数据存储方案制定。

2.参与数据中心数据存储能力评估。

3.负责数据中心环境维护与优化。

4.支撑数据开发人员快速完成开发工作。

个人能力：

1.有大数据存储、分析相关项目工作经验，承担核心工作。

2.?掌握与大数据处理相关的技术，包括但不限于Hadoop，Hbase，Hive等。

3.?掌握常用的的mpp数据库，包含但不限于Doris?与?ClickHouse等。

4.?掌握常用的关系形数据库，包含但不限于?sql?server，oracle，mysql等。"
大数据开发工程师,"成都 - 高新区- 吉泰五路88号香年广场T2楼1206号（天府三街地铁站）
",2024/12/1,3-5年 ,大专,10k-16k,"

微银合创

","

数据服务｜咨询 / 不需要融资 / 15-50人

",五险一金，年终奖，体检，节日福利，周末双休,"技能要求： 
 
Hadoop生态相关组件，Linux，IMPALA，Python，Oracle，MySQL，Linux 
 
职位描述： 
1、基于公司大数据平台，设计大数据相关项目的技术方案； 
2、负责数据调研、数据接入、数据建模、数据清洗、数据映射、数据可视化等工作； 
3、负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑，BI报表输出； 
4、负责大数据平台的安装、部署； 
5、负责大数据平台的性能监控和持续优化； 
6、针对需求提供大数据分析技术解决方案。 
 
 
任职要求： 
1、本科及以上学历，3-5年工作经验，活跃、严谨的思维，理解能力强，交流沟通无障碍； 
2、熟练Hadoop生态相关大数据工具，熟练使用SQL，熟悉Python或Java； 
3、熟悉oracle，db2，hive, spark, impala, ETL等技术，能独立承担报表设计和开发工作； 
4、熟悉阿里dataphin/dataworks、袋鼠数栈产品的优先； 
5、熟悉Linux操作系统； 
6、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 
7、熟悉银行业务, 丰富的BI指标体系建设经验优先。"
大数据开发工程师,"成都 - 武侯区 - 双楠- 龙腾东路36号中海大厦7楼709
",2023/3/3,3-5年 ,大专,10k-20k,"

天源迪科

","

IT技术服务｜咨询 / 上市公司 / 2000人以上

",年底双薪、年终奖、过节费、五险一金、周末双休,"岗位职责： 
负责大数据相关任务的设计与开发 
岗位要求： 
1、大专及以上学历，3-5相关工作经验； 
2、深刻理解大数据处理（流计算，分布式计算，分布式文件系统，分布式存储等）相关技术和实现方法； 
3、熟悉Hadoop大数据生态圈技术，精通分布式存储Hdfs,Hive,Hbase,Es等，资源调度Yarn、Oozie、Azkaban等，计算框架 Spark,Prosto,Hive,Impala等； 
3、熟悉sqoop,flume,kafka等，熟悉Nifi源码优先； 
4、熟悉并掌握离线和实时数据处理流程，熟练使用mapreduce，Spark，Flink处理； 
5、熟练掌握springmvc、springboot开发； 
6、熟练掌握Java、Scala开发，有Python语言开发经验优先； 
7、熟悉Linux系统；"
大数据开发工程师,"成都 - 锦江区- 二环路东五段239号“华润广场”A座1909号
",2023/10/10,5-10年 ,本科,12k-16k,"

创博云软

","

IT技术服务｜咨询 / 未融资 / 15-50人

",双休、带薪年假、奖金、政府项目、工作稳定,"一、岗位职责： 
1、负责公司大数据平台系统与应用研发，基于大数据技术特点对数据的处理、抽取、挖掘、分析以及功能代码的实现； 
2、深入理解业务逻辑，结合当前架构或业务场景提供可行性优化方案，参与数据模型体系构建、数据模型算法实现、数据主题设计 和开发，搭建实时和离线的数据公共层； 
3、主导建立和维护大数据平台技术标准规范，指导开发人员编写代码，编写相关技术文档； 
4、关注大数据领域前沿技术、方法，将合适的技术方案适时引入业务场景。 
二、任职资格： 
1、计算机科学与技术、大数据、应用数学等相关专业，本科及以上学历，5年及以上工作经验； 
2、熟练掌握大数据平台（包括但不限于Hadoop、HDFS、Map Reduce等）基本原理及架构，了解大数据通用平台物理设备、网络转发、端口协议等方面的知识； 
3、对大数据生态圈有深入认识，对大数据基础架构和平台底层原理有深度理解和丰富开发经验，具备Hadoop、Hive、HBase、kudu、Impala、Kafka、MapReduce、Spark、Kylin、Oozie、Sqoop、ElasticSearh等技术的熟练使用。 
4、熟练掌握常见SQL、NoSQL数据库原理、数据库设计、查询编写和优化； 
5、熟练掌握JAVA语言，熟悉Spring Cloud微服务架构，对JVM有了解者优先，熟悉Python更佳； 
6、对数据敏感，能够通过业务模式和数据字典洞察数据规律，总结归纳数据规范； 
7、具备优秀的沟通和组织协调能力，有团队意识，任务执行力强； 
8、具备大数据平台运维和开发经验，能够独立升级大数据平台核心组件及相关功能者优先。 
*不是外包公司，项目稳定、工作稳定。 
"
